Number,Job Name,Company,Rating,Location,Salary,Description,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
359,Data Scientist,OneMagnify,4.4,"Detroit, MI",$102K - $141K (Glassdoor est.),"OneMagnify is a one-of-a-kind combination of technology, creative, strategy, data, analytics, and a wide range of marketing services that cut across multiple practice and solution areas to deliver a whole that is truly greater than the sum of its parts. Today’s sophisticated business and marketing landscape requires a fresh, vigilant, and more connected approach to human communications – and we get it.
We’re always looking for diverse, passionate, and skilled candidates to join our award-winning work environments. Our offices have been rated Top, Best, and Coolest places to work by numerous sources for multiple years in a row dating back to 2010. In fact, we were recently rated one of the Best and Brightest companies to work for in the nation. Apply today. Show us what you can do. You might be exactly who we need.
We are looking for a client facing Data Scientist who is excited to create exceptional client partnerships. This role is perfect for a creative problem solver with a vision of how to harness the power of data to help clients make informed decisions.
About You:",-1,201 to 500 Employees,1967,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,-1
360,Jr. Data Scientist,Florida Atlantic University,4.0,"Boca Raton, FL",Employer Provided Salary:$25.00 Per Hour,"For more information on everything FAU has to offer, please visit
www.fau.edu/jobs
.
Position Summary:
The Florida Atlantic University Center for Online and Continuing Education is seeking a Junior Data Scientist (JDS).
The successful candidate will have an enthusiasm for leveraging technology to enhance student-learning environments and improve student-learning outcomes. Experienced in transformative Artificial Intelligence innovations, the JDS will work with a team of researchers focused on supporting effective student-learning. The JDS will work on projects geared toward successful student preparedness for the digitally connected and competitive workforce. Those encouraged to apply must have a desire to propel a career in research and data analytics related to digital learning with the tools, skills, and experience gained from being a team member in the FAU Center for Online and Continuing Education.

Master's of Science degree from an accredited institution in Information Technology and Management, Computer Science and Data Analytics; or in an appropriate area of specialization required.

Preferred Skills:

Experience with statistical software, such as SPSS or similar.

Experience collaborating on academic teams with individuals from varying professional backgrounds.

Functional knowledge of varying coding languages.

Outstanding organizational abilities and attentiveness to detail.

Experience working in the Canvas Learning Management System.

Willingness to learn software programs and coding languages, as needed.

Excellent communication skills.

Willingness to flex and adapt.

Willingness to serve as a team player.

Problem-solving skills.
$25.00 per hour.
eLearning Staff
Boca Raton
Monday - Friday, 8 a.m. - 5 p.m.
2023-07-11
Individuals with disabilities requiring accommodation, please call 561-297-3057. 711

Temporary positions are not established positions and are paid from OPS funds. Temporary positions are usually not eligible for benefits and retirement; however, they may be eligible for health insurance coverage depending on the average hours worked per week. They provide full-time or part-time employment in an exempt or non-exempt employment situation based on job duties and salary in accordance with the Fair Labor Standards Act (FLSA). Temporary positions do not have layoff rights and may be terminated without prior notice. Applicants hired into Temporary positions may apply for a regular appointment should a vacancy become available.

Successful completion of a background check, which may include a motor vehicle check, credit check, fingerprinting or additional screening, is required for the selected candidate prior to the start date.

A resume and a cover letter are required for this position. Make sure to attach these required documents in the Attachments section of the application. Any missing required documents will result in disqualification.",-1,1001 to 5000 Employees,1960,College / University,Colleges & Universities,Education,$100 to $500 million (USD),-1
362,Computer Vision Data Scientist,Apple,4.2,"Cupertino, CA",,"Summary
Posted: Apr 6, 2023
Role Number:200473664
Do you have a passion for computer vision and deep learning problems? We are looking for someone who thrives on collaboration and wants to push the boundaries of what is possible today! The Video Computer Vision org is a centralized applied research and engineering organization responsible for developing real-time on-device Computer Vision and Machine Perception technologies across Apple products. Our data scientist will work closely with other members of the Video Computer Vision org to implement model evaluation pipeline, analyze large scale data to help influence product decision and improve product quality. This position will require strong analytical and coding skills, presentation skills, and collaborating with multiple teams. You will get to work on computer vision products like FaceID and exciting future technologies.",-1,10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),-1
363,Junior Data Scientist,Augray,3.9,"Brookfield, WI",Employer Provided Salary:$55K - $60K,"Brookfield, WI, USA
Summary:
Hiring Fresher to 1 year experience in Data Science, ML with python and strong analytical skills with a passion to take part in R&D.
About AugRay:
Augray is on a mission to build next generation method of communication using Extended Reality – XR (AR/ VR/ MR) technologies and change the way businesses re conducted and how interactions happen with people. In an age where innovation is happening all around us, there’s commonality – people are driving these changes. We offer a solution that helps to articulate product demonstration and how people conversation takes place using smartphones and wearable glasses.",-1,51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
364,Data Scientist I,VirginPulse,3.4,Remote,Employer Provided Salary:$95K,"Overview:
Join Virgin Pulse Today!

Virgin Pulse is the #1 health and wellbeing navigation platform. Our mission is to change lives for good. We empower 14 million users to get and stay healthy every day by making better choices.

We are looking for a Data Scientist I to join our team who embodies our values: People Matter, We Deliver, One Team One Dream, and Grow Forward. By joining us, you will gain access to health and wellbeing resources, an inclusive global network of nearly 2,000 employees, learning development opportunities, and more.
Responsibilities:
Position Summary

The Data Scientist supports the organization's efforts to drive personalization and targeted intervention through solid statistical and modeling skill set. A successful candidate will have a desire for continuous learning and strong interpersonal relationship skills.
Qualifications:",-1,501 to 1000 Employees,2004,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),-1
365,Data Scientist - 300269,Grainger,4.1,"Lake Forest, IL",$93K - $125K (Glassdoor est.),"W.W. Grainger, Inc. is seeking a Data Scientist in Lake Forest, IL with the following requirements: Master’s degree in Statistics, Mathematics, Data Science, Computer Science or related field plus 1 year related experience. Prior experience must include: Analyze and interpret statistical data in the form of data visualization and statistic calculation, translate numerical findings into actionable insights and implementable solutions; Design and conduct experiments, collect the data to measure results and test hypotheses, create inferences and recommendations; Design, implement, and validate statistical and machine learning models like regression, decision trees, clustering, and time series modeling; Utilize statistical computer languages in SQL, Python, R, IBM SPSS Statistics, and MS Office; Present clear and concise results to business partners to adopt and implement analytical recommendations. Up to 20% remote work allowed.

Please submit resume to https://jobs.grainger.com/, reference job #300269",-1,10000+ Employees,1927,Company - Public,Wholesale,Retail & Wholesale,$10+ billion (USD),-1
366,data scientist - multiple openings,Starbucks,3.7,United States,,"Now Brewing – Data Scientist! #tobeapartner
From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and the rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others.
As a Data Scientist on the Data, Analytics, Insights, and Business Operations team, you will work cross-functionally with data engineers, data scientists, business experts, and external vendors to help Starbucks make decisions better by using data and analytics. You will use your experience with forecasting, automating ETL processes, and designing and building analytical models using structured or unstructured data. You will work directly with business partners and technology teams from problem identification to solution. You will quickly become an expert in one of our key business and data domains (Supply Chain, People Analytics, Marketing, or Store) and work cross functionally in an analytics center of excellence to improve existing processes or analytical approaches",-1,10000+ Employees,1971,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD),-1
367,Sr. Data Scientist,Pinterest,3.9,Remote,,"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It’s where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you’ll be challenged to take on work that upholds this mission and pushes Pinterest forward. You’ll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
Our new progressive work model is called PinFlex, a term that’s uniquely Pinterest to describe our flexible approach to living and working. Visit our PinFlex landing page to learn more.
As a Data Scientist you will shape the future of people-facing and business-facing products we build at Pinterest. Your expertise in quantitative modeling, experimentation and algorithms will be utilized to solve some of the most complex engineering challenges at the company. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Design, Research, Product Analytics, Data Engineering and others. The results of your work will influence and uplevel our product development teams while introducing greater scientific rigor into the real world products serving hundreds of millions of pinners, creators, advertisers and merchants around the world.

Not Specified
0",-1,1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD),-1
368,Data Collection Projects,Argos Multilingual,4.5,Remote,,"Location: Remote
About the Job
A large part of the work we do here at Argos Multilingual is related to Data Collection projects for our end clients' research & development teams aiming to train machine translation engines on how a human linguist would translate, and other types of machine learning. Data collection is a vital part of gathering content to train AI to better respond to and interact with natural human language, both written and verbal. The data are collected in different ways, depending on the type & mostly the scope, and the translation project management differs accordingly.
The position is remote and can be done from anywhere. In-country talents are preferred, but this is not a requirement.",-1,201 to 500 Employees,-1,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1
369,Data Scientist - All Levels,Silver Edge,-1,"Chantilly, VA",$82K - $126K (Glassdoor est.),"Description
The Data Scientist will act in a consultant capacity for assessments of data science requests. Data Scientist to conduct hands-on machine learning. Required Skills

Demonstrated experience with the following:
Experience with Python, R, MATLAB, SQL, and DS tools (PyTorch, TensorFlow, Pandas, etc.).
Familiarity with virtualized data science environment preferred.
Creating user friendly repo rts using various databases, programs, and scripts.
About Silver Edge
Map a new path to mission accomplished. SilverEdge Government Solutions was founded on the belief that nurturing talent and collaborating closely with our customers enables us to think big and deliver the best for our country. Our mission is to bring top technology talent together to solve the world’s most challenging problems while protecting the United States and our allies.
SilverEdge Government Solutions, LLC is an Equal Opportunity Employer and applicants receive lawful consideration for employment without regard to race, religion, color, gender, age, national origin, disability, or veteran status.",-1,201 to 500 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
370,Associate Data Scientist,Tencent,4.0,"Palo Alto, CA",Employer Provided Salary:$65K - $131K,"Work Mode:
Onsite
Responsibilities:
About Tencent
Tencent is a world-leading internet and technology company that develops innovative products and services to improve the quality of life of people around the world. Founded in 1998 with its headquarters in Shenzhen China, our guiding principle is to use technology for good.
We are not only a major video game publisher in the world, we also produce other high-quality digital content, enriching interactive entertainment experiences for people around the globe. We offer a range of services such as cloud computing, advertising, FinTech, and other enterprise services to support our clients' digital transformation and business growth.
About IEG






California
The base pay range for this position in the state(s) above is $65,450 to $130,900 per year. Actual pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign on payment, relocation package, and restricted stock units may be provided as part of the compensation package, as well as other medical, financial, and/or other benefits, dependent on the specific position offered.",-1,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1
371,"Scientist, Data I",ABBVIE,3.9,"Crystal Lake, IL",$67K - $92K (Glassdoor est.),"AbbVie’s Operations Business Insights (OBI) group is continuously innovating to transform AbbVie operations organization to enable the use of data and analytics to drive world-class innovation, performance, and agility across many functional areas.
We are looking for an Associate Data Scientist with entry-level experience in Software Engineering and Data Engineering who aspire to further advance in Data Science skills.
The Associate Data Scientist will assist in bringing machine learning solutions to life by translating business requirements into deployable applications, using complex SQL queries for data query and writing efficient R/Python codes.

Responsibilities:",-1,10000+ Employees,2013,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),-1
372,Data Scientist,PayPal,3.9,"San Jose, CA",Employer Provided Salary:$61K - $147K,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: We are seeking an exceptional data scientist with a passion for data insights and relentless focus on execution: • You are curious and inquisitive: love digging into data and uncovering insights • You are hyper-analytical and intellectually honest, truly believing in data-driven decisions and communicating your ideas through storytelling • You are a highly motivated, result-oriented self-starter, enjoy working in a fast-paced environment, and can deliver successful results with minimal guidance
Job Description:
PayPal is committed to fair and equitable compensation practices.

Actual Compensation is based on various factors including but not limited to work location, and relevant skills and experience.

The total compensation for this practice may include an annual performance bonus (or other incentive compensation, as applicable), equity, and medical, dental, vision, and other benefits. For more information, visit https://www.paypalbenefits.com.

The U.S. national annual pay range for this role is $60900 to $147400",-1,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1
373,Data Scientist (L6) - Ads,Netflix,4.3,"Los Angeles, CA",$104K - $181K (Glassdoor est.),"Los Angeles, California
Advertising
At Netflix, we seek to entertain the world. We have more than 200 million members in 190 countries, reflecting that great stories can come from anywhere and be loved everywhere.

In Nov 2022, we launched a new lower-priced, ad-supported tier for our customers. We are now continuing to build on our goal of providing more choice for consumers and a premium, better-than-linear TV brand experience for advertisers. That said, we are looking for the founding members of this new business area for Netflix!

The Ads Data Science and Engineering team at Netflix’s mission is to help build the foundation of the ads business at Netflix. We conduct analyses and develop analytic tools, build predictive models and algorithms using machine learning, all with the goal of creating more choices and joy for our members. You’ll work closely with partner teams to build workflows, provide recommendations and drive success on end-to-end analytics initiatives in this 0 -1 space.",-1,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),-1
374,Strategic Customers - Data Scientist,Oracle,3.9,United States,,"Oracle’s Strategic Customer Team has the mission to enable OCI's largest and most strategic customers. The Strategic Engineering Customers team is an inclusive and diverse team of high caliber PMs and Engineers focused on the AI/ML Pillar inside of the Strategic Engineering Customer team, distributed globally, who thrive on new challenges. We are seeking an experienced Machine Learning Engineer or Data Scientist with technical expertise in deploying, configuring, and running ML/AI jobs on OCI GPUs, to join our growing team of multidisciplinary experts. As a Senior Principal Data Scientist, you will work closely with the technical and research teams on innovative, strategic projects including advanced applications of ML for the organization. This role is responsible for the technical direction of the team and for communication with both internal and external stakeholder leadership teams, and must demonstrate critical thinking abilities, outstanding communication skills, project management experience and the ability to lead other experienced technical professionals.",-1,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),-1
376,Junior Data Scientist,Soothsayer Analytics,2.9,"Livonia, MI",$81K - $113K (Glassdoor est.),"Junior Data Scientist
Working Hours : Full Time(W2)
Experience : 1+Years
Locations : Livonia , Michigan

Soothsayer is seeking Data Scientist who has an interest in solving challenging ML/ AI problems. The Data Science team works on a variety of exciting analytics (ML, AI) projects.",-1,Unknown,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
377,Data Scientist (All Levels),Noblis,4.4,"Reston, VA",Employer Provided Salary:$84K - $147K,"Responsibilities:
Noblis is seeking to hire Data Scientists (All Levels) in Reston, VA

As a Data Scientist with our team, you will be working with our federal clients to rapidly develop innovative proof of concept and prototype solutions for our clients’ immediate mission challenges. In your role, you will work on multiple projects with teams of other data scientists, software developers, and SMEs to apply the best practices and state of the art data science and machine learning processes. As a data scientist you will be working closely with federal clients providing services to develop AI/ML models and weights to selected data to facilitate object detection, data triage, search/optimization, inference, facial recognition, behavior detection, and automated discovery and decision making, maintaining model versioning system and experience identifying new vulnerabilities in models.

On our team, you will:
Qualifications:

Client Engagement: · Learn about and support Noblis’ client engagement, corporate values, and corporate strategic priorities, including providing input to proposal writers. · Build a productive relationship with your client and understand their structure and goals. · Participate in the proposal process by providing input to proposal writers. Overview:",-1,1001 to 5000 Employees,1996,Nonprofit Organization,Business Consulting,Management & Consulting,$100 to $500 million (USD),-1
378,Sr Data Scientist,f5,4.1,"San Jose, CA",Employer Provided Salary:$160K - $241K,"At F5, we strive to bring a better digital world to life. Our teams empower organizations across the globe to create, secure, and run applications that enhance how we experience our evolving digital world. We are passionate about cybersecurity, from protecting consumers from fraud to enabling companies to focus on innovation.

Everything we do centers around people. That means we obsess over how to make the lives of our customers, and their customers, better. And it means we prioritize a diverse F5 community where each individual can thrive.
Today, as part of F5, Security products identify and stop automated attacks and fraud against web and mobile applications of the Fortune Global 2000. Tomorrow, we’ll need to fight even more sophisticated adversaries, while helping human users to have ever more friction-less experience. Come be a part of our unparalleled team that is responsible for making the Internet a safer place for everyone.
The Position
The annual U.S. base pay range for this position is: $160,499.00 - $240,749.00",-1,5001 to 10000 Employees,1996,Company - Public,Computer Hardware Development,Information Technology,$1 to $5 billion (USD),-1
379,Data Scientist,Revecore,3.9,Remote,,"Revecore is an innovative, technology-driven company that is committed to helping our clients, our employees, our company, and our communities thrive. An award-winning services firm, partnering with hospitals and health systems, providing the momentum they need to maintain a strong revenue cycle amid today’s evolving healthcare environment.

With a 20+ year history, Revecore is the leading provider of revenue integrity and complex claims solutions for hospitals.

We offer a dynamic and flexible work environment, full of opportunity for motivated, hands-on team players. We strive each day to solve complex business problems and find new ways to enhance the efficiency, effectiveness, and quality of our services. If those attributes resonate with you, regardless of where you are located—we want you on our team!",-1,Unknown,-1,Company - Public,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1
380,Data Scientist (Remote),Mercy,3.5,"Chesterfield, MO",$77K - $114K (Glassdoor est.),"We're a Little Different

Our mission is clear. We bring to life a healing ministry through our compassionate care and exceptional service.

At Mercy, we believe in careers that match the unique gifts of unique individuals - careers that not only make the most of your skills and talents, but also your heart. Join us and discover why Modern Healthcare Magazine named us in its ""Top 100 Places to Work.""

Overview: Data Scientist

Position can be done Remote (work from home).

Mercy is seeking a Data Scientist to work within a team of other advanced professional data scientists, engineers, and application developers in the generation, extraction, and compilation of data to perform creative, high-quality, state-of-the-art analyses and evaluations that produce insights, support decision-making, and drive impact within a leading and transforming healthcare organization. This position will support Mercys efforts to deliver on the vision of personalized, predictive, and proactive care. The candidate should demonstrate expertise with data extraction, management, analysis with data analytics tools, and be able deliver outputs on a timeline. The candidate should be able to effectively document, develop, and communicate project plans and analytic findings with a variety of technical/non-technical stakeholders.





Day-one comprehensive health, vision and dental coverage, PTO, tuition reimbursement and employer-matched retirement funds are just a few of the great benefits offered to eligible co-workers, including those working 32 hours or more per pay period!



At Mercy, our supportive community will be behind you every step of your day, especially the tough ones. You will have opportunities to pioneer new models of care and transform the health care experience through advanced technology and innovative procedures. We're expanding to help our communities grow. Join us and be a part of it all.



Compassion and professionalism go hand-in-hand with us. Having a positive outlook and a strong sense of advocacy is in perfect step with our mission and vision. We're also collaborative and unafraid to do a little extra to deliver excellent care - that's just part of our commitment. If that sounds like a good fit for you, we encourage you to apply.

Mercy has determined this is a safety-sensitive position. The ability to work in a constant state of alertness and in a safe manner is an essential function of this job.",-1,10000+ Employees,1871,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),-1
381,Data Scientist,Ivy Tech Solutions inc,3.6,Remote,,"HI,
Kindly let me know if you have a suitable fit for the following position
Thanks

REMOTE
Data Scientist
6MONTHS Contract to hire",-1,51 to 200 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
382,Marketing Data Scientist,Sephora USA,3.6,"San Francisco, CA",Employer Provided Salary:$153K - $169K,"Position
Marketing Data Scientist

Profile
Job ID: 230380
Location Name: FSC REMOTE SF/NY/DC -173(USA_0173)
Address: FSC, San Francisco, CA 94105, United States (US)
Job Type: Full Time
Position Type: Regular
Job Function: Marketing
Yes",-1,10000+ Employees,1969,Company - Private,Beauty & Personal Accessories Stores,Retail & Wholesale,$1 to $5 billion (USD),-1
383,Data Scientist,Vetro Tech Inc,3.9,"Seattle, WA",Employer Provided Salary:$84K - $99K,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",-1,Unknown,-1,Company - Public,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,-1
384,Data Scientist,Parsons,3.9,Remote,Employer Provided Salary:$24.18 - $42.31 Per Hour,"In a world of possibilities, pursue one with endless opportunities. Imagine Next!
When it comes to what you want in your career, if you can imagine it, you can do it at Parsons. Imagine a career working with intelligent, diverse people sharing a common quest. Imagine a workplace where you can be yourself. Where you can thrive. Where you can find your next, right now. We’ve got what you’re looking for.
Job Description:
Parsons is seeking a Data Scientist to support our efforts in advancing public health analytics and modeling. The successful candidate will have a strong background in data science, excellent communication skills, and experience working with diverse stakeholders in public health, academia, and the private sector. As a Data Scientist, you will play a critical role in expanding awareness, training, and sharing of best practices related to outbreak analytics and modeling, ultimately contributing to improved public health outcomes.


Not Applicable/None
This position is part of our Federal Solutions team.
Our Federal Solutions segment delivers resources to our US government customers that ensure the success of missions around the globe. Our diverse, intelligent employees drive the state of the art as they provide services and solutions in the areas of defense, security, intelligence, infrastructure, and environmental. We promote a culture of excellence and close-knit teams that take pride in delivering, protecting, and sustaining our nation's most critical assets, from Earth to cyberspace. Throughout the company, our people are anticipating what’s next to deliver the solutions our customers need now.
$24.18 - $42.31
We value our employees and want our employees to take care of their overall wellbeing, which is why we offer best-in-class benefits such as medical, dental, vision, paid time off, Employee Stock Ownership Plan (ESOP), 401(k), life insurance, flexible work schedules, and holidays to fit your busy lifestyle!
Parsons is an equal opportunity employer committed to diversity, equity, inclusion, and accessibility in the workplace. Diversity is ingrained in who we are, how we do business, and is one of our company’s core values. Parsons equally employs representation at all job levels for minority, female, disabled, protected veteran and LGBTQ+.
We truly invest and care about our employee’s wellbeing and provide endless growth opportunities as the sky is the limit, so aim for the stars! Imagine next and join the Parsons quest—APPLY TODAY!",-1,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),-1
385,Data Scientist (remote),MultiPlan Inc.,3.7,Remote,,"JOB SUMMARY: Multiplan pioneers innovative solutions for healthcare payments, drawing on unique insights and data analysis to create customized action plans to help our customers thrive. This position will work to enable deeper insights and better decision making through the use of data science techniques. They will work with stakeholders across the business to identify opportunities, understand data, develop actionable insights, and work to implement those insights into practice. Let's work together to improve our healthcare space!
JOB ROLES AND RESPONSIBILITIES:
1. Utilizing your intellectual curiosity, partner with stakeholders throughout the organization to leverage company data and drive business solutions.
2. Mine and analyze data from company databases and use predictive modeling to drive optimization and improvement of product development, marketing techniques and business strategies.
3. Employ responsible principles of machine learning/AI to ensure models are transparent, relevant, and properly used.
4. Mature our data science practice with continuous learning and knowledge sharing.
5. Collaborate, coordinate, and communicate across disciplines and departments.
6. Ensure compliance with HIPAA regulations and requirements.
7. Demonstrate Company's Core Competencies and values held within.
8. Please note due to the exposure of PHI sensitive data - this role is considered to be a High Risk and Privileged Role.
9. The position responsibilities outlined above are in no way to be construed as all encompassing. Other duties, responsibilities, and qualifications may be required and/or assigned as necessary.",-1,1001 to 5000 Employees,1980,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,-1
386,Data Scientist,Upen Group Inc,-1,"Irving, TX",Employer Provided Salary:$40K - $64K,"We are a leading job agency seeking a Junior Data Analyst to join our team and work with some of our top vendors. The ideal candidate will have strong analytical skills, excellent attention to detail, and a desire to learn and grow in the field of data analysis.
Responsibilities:
Collect, manipulate and analyze data from various sources
Prepare reports and visualizations to communicate findings to stakeholders
Identify trends and patterns in data to help inform business decisions
Collaborate with cross-functional teams to develop and implement data-driven solutions
Requirements:",-1,-1,-1,-1,-1,-1,-1,-1
387,Healthcare Data Scientist,Lown Institute,5.0,Remote,Employer Provided Salary:$85K - $98K,"The Data Scientist’s primary responsibility will be the development of analytic plans, coding and data analysis and cleaning.
Description
Healthcare Data Scientist

Do you believe we need deep, structural changes in health care and want to devote your knowledge and passion to creating a better system? The Lown Institute seeks an energetic and thoughtful individual to join our team as we seek to catalyze transformation in the US health system. The Healthcare Data Scientist should have a passion for data, for improving the healthcare system, and for creating solutions that have impact. The successful candidate will spend time working both independently and as part of a highly collaborative team focused on specific deadlines. While this is an individual contributor role, the ideal candidate should be able to collaborate with others to solve complex problems. This is a two year, full-time contract position.",-1,Unknown,-1,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,Unknown / Non-Applicable,-1
388,Data Scientist (REMOTE),"General Dynamics Mission Systems, Inc",3.8,Remote,Employer Provided Salary:$120K - $133K,"Basic Qualifications :
Requires a Bachelor’s degree in Engineering, or a related Science or Mathematics field. Also requires 5+ years of job-related experience, or a Master's degree plus 3 years of job-related experience.

Due to the nature of work performed within our facilities, U.S. citizenship is required.
Responsibilities for this Position:
GDMS’ Deep Learning Analytics Center of Excellence (DLACoE) is looking for a data science professional having a wide range of data integration, data visualization, big data, and programming skills. Candidates should possess a demonstrated understanding of machine learning and profiency in software engineering with the ability to apply these skills under real world conditions.

Our Commitment to You:


Salary Note: This estimate represents the typical salary range for this position based on experience and other factors (geographic location, etc.). Actual pay may vary. Combined Salary Range: USD $119,700.00 - USD $132,700.00 /Yr. Company Overview:",-1,10000+ Employees,1952,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD),-1
389,Junior Data Scientist,Choice Fitness,3.3,"Atlanta, GA",$71K - $102K (Glassdoor est.),"As a Junior Data Scientist, you will help support the Senior Data Scientist in analysis and research, and machine learning modeling that is underpinning new and current products. Additionally, the Junior Data Scientist will support the Data Engineer in building new data pipelines including new ETL functions.

Minimum Qualifications

Bachelors degree in STEM field using applied statistics and/or machine learning with two plus years of experience.

Strong statistical and mathematical skills: You should have a strong understanding of statistical concepts such as probability theory, hypothesis testing, regression analysis, and machine learning algorithms.

You should be proficient in at least one programming language, such as Python or R. You should also be familiar with SQL for data querying and manipulation.

You should be able to clean, manipulate, and transform data using tools like pandas and numpy in Python or tidyverse in R. You should also be able to create effective data visualizations using libraries such as Matplotlib or ggplot2.

You should have a basic understanding of machine learning algorithms such as linear regression, logistic regression, decision trees, and clustering techniques.

You should have excellent communication skills, including the ability to clearly explain complex technical concepts to non-technical stakeholders.

The ability to work collaboratively with other team members, including data engineers, data analysts, and business stakeholders, can be beneficial for you in delivering successful projects.

You should be able to identify and solve complex problems, often with incomplete or imperfect data.

You should have excellent attention to detail, ensuring that your data analysis is accurate and error-free.

You should be willing to learn new skills and keep up with the latest industry trends and developments.

Nice-to-have skills and Experience

Experience with AGILE/SCRUM/JIRA.

Experience with the AWS cloud platform.

Understanding of deep learning algorithms.

Having domain expertise in criminal justice, crime analysis and/or risk calculation.

Knowledge of data ethics and privacy.

Project management skills scoping, planning, and executing.",-1,Unknown,-1,Company - Public,Beauty & Wellness,Personal Consumer Services,Unknown / Non-Applicable,-1
390,Junior Data Scientist - REMOTE,ACLED,4.1,"Washington, DC",$71K - $108K (Glassdoor est.),"The project:

The Armed Conflict Location & Event Data Project (ACLED) is a disaggregated data collection, analysis, and crisis mapping project. The ACLED team conducts analysis to describe, explore, and test conflict scenarios and makes both data and analysis open for free use by the public. ACLED material is regularly used to inform journalism, academic research, and public discourse on conflict, and to support the work of practitioners and policymakers. ACLED is the highest quality and most widely used real-time data and analysis source on political violence and protest around the world.

The Role:",-1,Unknown,-1,Contract,Civic & Social Services,Nonprofit & NGO,Unknown / Non-Applicable,-1
391,Junior Data Scientist,Augray,3.9,"Brookfield, WI",Employer Provided Salary:$55K - $60K,"Brookfield, WI, USA
Summary:
Hiring Fresher to 1 year experience in Data Science, ML with python and strong analytical skills with a passion to take part in R&D.
About AugRay:
Augray is on a mission to build next generation method of communication using Extended Reality – XR (AR/ VR/ MR) technologies and change the way businesses re conducted and how interactions happen with people. In an age where innovation is happening all around us, there’s commonality – people are driving these changes. We offer a solution that helps to articulate product demonstration and how people conversation takes place using smartphones and wearable glasses.",-1,51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
392,Data Scientist Co-Op - Masters Degree - Fall 2023,Torc Robotics,4.3,"Austin, TX",Employer Provided Salary:$31.00 - $37.00 Per Hour,"About the Company
At Torc, we have always believed that autonomous vehicle technology will transform how we travel, move freight, and do business.
A leader in autonomous driving since 2007, Torc has spent over a decade commercializing our solutions with experienced partners. Now a part of the Daimler family, we are focused solely on developing software for automated trucks to transform how the world moves freight.
Join us and catapult your career with the company that helped pioneer autonomous technology, and the first AV software company with the vision to partner directly with a truck manufacturer.",-1,501 to 1000 Employees,2007,Company - Private,Software Development,Information Technology,$25 to $100 million (USD),-1
